Gene Symbol,GSM155938,GSM155940,GSM155941,GSM155942,GSM155963,GSM155985,GSM155990
FCN3,8.324630615267191,4.23906192351974,9.43890618266935,5.13782317644083,4.23388806017428,5.52551454500531,5.5906828521635195
PRSS1,2.59646529576664,2.58961968961547,2.6161176984082406,2.41417342691563,2.61042604687915,2.71484775148084,3.2175006145612
BDKRB2,5.82336724004624,4.04610684913849,4.13190222091972,4.2742914841021005,4.06969357504278,4.04568759307542,4.519384643757809
PLGLB1,12.725598450904,11.187735586082802,12.233688574587,9.4843939483742,9.42761036275909,12.038459502783999,9.668434736447038
PDE4DIP,4.60041844050384,5.786928248115849,5.95262943762778,4.2339800658527595,4.96450029194904,5.4199837662455,4.40696517025465
ITPKA,2.3081686273244704,2.7706303314923595,2.2999274461056296,2.3534672711544,2.38867173284354,2.3623716951773597,2.7813555165875297
ATRIP,6.79550722267666,6.20293287781736,7.073948733659099,6.32829793753729,6.02689077811206,5.67204340155456,4.72930260186775
LIFR,3.87149870067285,3.5391960414674104,3.62817866699795,3.10438027551713,3.4642761770320396,3.67311540747874,3.44872919151151
ZC3H7B,5.57510656252665,5.82455912069518,5.394846790506099,5.78319732312144,5.72021005053072,4.904117958545861,6.568293615161049
POU6F1,5.61648415078021,5.274776018949741,4.97492388884363,4.9649068593128804,5.054757329122809,4.97034291614794,5.02408027409363
RET,2.3594902471705295,2.2786300974206,2.2806802161402002,2.44153394115554,2.28891072667383,2.2673560117838902,2.27989022554691
PRKD1,3.05868881181113,7.11877499754882,3.3752340951344597,6.87069761079918,2.2034423685462206,4.57026254279863,7.0798580762046095
ZNF74,3.8992529847091504,3.55912466851776,3.50653847318033,3.4392773811877597,3.5396799487294195,3.49264796258695,4.2759233447298
ZBTB16,8.25969148577812,9.56407706754506,6.407381645544009,4.33931557241328,6.6825452072174,8.25964912064916,5.05126768093078
ITGA4,4.34333675182607,4.996131099328291,6.24061772138752,4.543304088746741,3.58705289336177,5.36642713370631,2.81715456129443
REG1B,2.17754790472815,2.1798836187603996,2.18383900667077,2.16788776071537,4.6229362060018095,2.1690912034093897,2.1817799970632197
MSH3,8.14611549523359,7.872607168194361,7.57637852638389,7.8031301473218795,7.9922189330015705,7.77146305836565,7.75774334720186
JAKMIP2,3.99754533137048,4.51538446063695,4.27404542719163,3.5637072752578396,3.82344367219591,3.3803554295367797,4.09009971330339
UBD,11.548094599154199,12.782996161962302,13.594732812067802,14.3344548679492,13.456726592687,13.4308837275922,12.2992337805687
ADORA2B,2.3244333224557403,2.32054533058829,2.27302943894797,2.30287467036558,2.47730689331391,2.2826117912856603,2.32666964664287
FABP1,13.677532466681301,14.5565060546719,14.1578127041236,13.722775518350401,12.948109845265,14.1462186190394,13.696054689437402
NLGN1,2.68418363246685,2.5622668505969903,2.5950428984100897,2.55636319588293,2.60762148680969,2.59986048776766,2.61211419256472
ARSL,8.80061521451634,9.938185797324131,4.34402598771792,9.85254511445815,10.001098509538599,6.82695518098708,10.594865746358401
NOLC1,6.909497113124191,7.060749964197849,7.02014657311178,8.58780376395243,7.45734804353436,6.530924404722589,6.357395410926401
SLC22A4,2.5450861779807,2.6509965662555697,2.4491836493969803,5.456582763852331,2.90555500376818,4.225467749404601,2.9728801002904
NFATC4,2.7085624866129603,2.70833072571362,2.1940397602013,2.47588903911794,2.7807342352334796,2.7122215776010097,2.7219172588200005
