Gene Symbol,GSM155924,GSM155925,GSM155971,GSM155972,GSM155973,GSM155974,GSM155976,GSM155978,GSM155979,GSM155980
MIAT,5.20148487953309,5.529923992494299,5.43250181336999,5.37237755137471,5.717912169644429,5.34746014973858,5.17572019396505,5.094029111041269,5.1413714783571605,5.16990897140836
ZNF316,6.22676282863636,5.98675222651434,6.05391936699505,5.76884066787742,6.10926025266994,5.9174532381146205,5.92831820501536,6.38888178199414,6.26319219197512,5.911806609449309
TMEM116,6.20510508712033,5.75373555801602,6.79811533605753,5.515983619232581,5.980879875896879,6.126846928718929,6.453598238823969,5.84583625621122,6.111719934712019,5.88965119140752
ELOVL7,4.70367659924891,2.73749640827745,5.5116419770259,5.76433553824338,4.87955384406387,5.46955065393922,6.55127759949448,5.44413032897663,5.42490529696957,5.606430383296111
LNP1,5.909468311019161,5.3804143093232595,5.6033592918829696,5.352949158324759,5.263180922108731,5.5355086777087,5.25088958852891,5.25477920523093,5.00261251788184,5.3367939544176295
SUSD3,5.81035826718058,3.66065485203523,4.60651921719198,5.832869765671201,4.17924032050363,4.70248578375729,4.7331753485469905,5.96697488227675,5.575015773124879,3.77908107991957
MIR145,3.3988838937102503,3.34066195823054,2.87104324320344,3.3754704372843505,3.08635238746009,3.4111957215234305,3.25214464380752,3.4053933808055894,3.2172214084807003,3.21758591675354
FNDC10,4.63898320161369,4.91099163311367,4.73784897437117,4.616916362578809,4.89443461022073,4.72555576427748,4.6851720760363795,4.85768745144742,4.70401427960781,4.67476570049579
EVA1C,3.5669247216254103,6.4414220601552,4.29273022348485,5.62928375485366,4.98894366704496,5.063589225314519,4.38779677301274,4.85047941091525,6.76770775963824,4.39870607451041
CPNE5,3.99202514263586,3.60705802560723,3.9386998132393396,4.31679017594535,3.66838012991355,3.77618823057944,3.90627491436973,3.5554235315618996,3.6770233160180896,3.94491465361029
PRRT2,3.71340988657923,3.73609610844519,3.42408900701388,3.66827800305682,3.71167110291812,3.5389229965181297,3.70244699649367,3.6986629998858795,4.06576185534639,3.5329028962241806
FAM3B,5.0591345990099805,3.06971934965114,8.9521908508626,5.33974669509656,6.36665443303151,4.76688134029519,8.8787437305757,3.47148663573002,4.4096149607967,3.3307161413617004
ZNF503,6.70637859465577,6.485280296013991,7.56796367853135,6.95554529744886,6.40350803786268,7.28314392929057,7.89633240390994,7.70284451651889,8.08819991253193,7.279146244054309
RHPN2,8.787762199878909,9.194271771305491,8.70891833266132,8.4295824906106,8.97052583641759,8.46687994471133,8.963456783786052,8.32586308444051,8.718940369161611,8.43585774702606
FBXL17,7.55435861601352,7.11682218086584,7.41373792503923,7.938844457466169,7.796811868737531,8.490517985833009,7.43247508807232,7.59067686470937,7.43023508558905,7.44720723478021
ZNF213,5.655440563078621,4.9725640003026,5.728421227806691,4.92618923436347,5.41794700409832,5.3429067007907305,5.448742404517031,5.420185936691719,4.96204459299205,5.138253366329
CENATAC,7.6021866405518,7.29517199198853,7.86186854185148,7.95224619120442,7.33809454689366,7.696891043987991,7.86210419020702,7.77290835704468,7.520563682283809,7.7351159559674
SFMBT2,4.2466209032727,4.5648110340847,4.55707305841834,5.569333106257419,4.56761237273385,3.97923882625286,4.88736929527888,4.71410811159517,6.692845617172741,4.43572192620207
ADAT2,5.677668908615691,4.882281107580719,5.26180157722416,5.2874870706992905,5.9417636393846704,6.00058822913592,5.52576195587229,6.10531140776624,6.2527013811247,5.95591023746439
CARMIL2,4.53878024790727,4.799113216312611,4.564835417010349,4.26404093555166,4.49653904584452,4.45308292738104,4.436095194434389,4.521295773175019,4.45864447937567,4.40109112984478
NFXL1,6.42109198611606,7.12492775458798,6.50426920913113,6.77283579666,6.57638457347373,6.4949947483609405,6.30072594234886,7.04841058215241,7.8880917584900905,6.621896556610269
MRAP2,6.1360088226172005,2.7224376074707206,2.97508352396196,2.8624315535124505,4.24202317767196,2.8899310048598905,2.71054968688777,3.90006495379882,5.581146338585159,2.89546549706285
MUC15,3.05771885706877,3.14299334026755,3.07824774931364,2.8146098936734303,3.0514730346346,3.00144918042484,3.00686170498397,3.0127027467377503,2.98382359832288,2.8785801819913
