A13J-11A A20N-11A A20Q-11A A20R-11A A20U-11A A20W-11A A2LA-11A A2LB-11A A0YN-11A A0YR-11A A3BM-11A A3WC-11A A6I3-11A A2C5-11A A3OP-11A A3OQ-11A A3WV-11A A54R-11A A5RI-11A
ACAD8 435.1835 404.1995 416.9611 289.2758 358.1395 238.9041 240.9283 268.0891 402.3155 424.1176 251.6667 527.1137 302.1248 352.0734 401.5125 501.8591 571.9538 242.5329 360.8367
ACAD9 731.6983 719.1514 750.8834 698.6229 1501.5349 891.5068 1008.0169 1329.7635 792.3300 903.5294 797.1576 751.6035 1207.8353 807.7990 929.5290 993.4477 1129.7216 913.3811 804.6465
ACADL 12.5392 4.3745 7.9505 15.8290 1.5504 9.3151 16.0338 7.4212 1.4472 16.4706 19.8012 25.6560 0.6640 23.9234 7.2190 28.3254 63.5504 11.3501 14.4721
ACADM 1180.8962 1533.6833 1323.3216 1514.8397 1216.2791 1078.3562 1387.3418 1385.8998 1039.7974 1239.4118 1202.7626 1118.3673 431.6069 1352.0734 2196.6311 1657.5345 1519.9580 1221.6249 1075.7564
ACADSB 952.2405 955.3806 832.1555 982.9838 824.0310 564.3836 656.1181 541.2801 692.4747 856.4706 781.1889 836.1516 208.4993 491.2281 888.9653 1319.9626 1064.6008 844.0860 518.0997
ACADS 623.2713 410.3237 704.0636 512.0696 672.0930 351.7808 587.3418 382.1892 573.8061 600.5882 397.3013 555.6851 1404.3825 363.2376 632.5198 430.5458 612.3950 314.8148 677.7748
ACADVL 5380.7339 4757.6115 5120.9982 4980.5778 9600.7597 4437.2329 9602.5316 7567.7041 4557.8509 4779.3765 7214.0077 6506.0991 7782.2045 3213.6962 7226.5383 6070.9284 8420.6723 13340.4958 8391.3583
ACAN 2.9504 23.6220 17.6678 30.8666 19.3798 63.5616 21.9409 56.5863 20.2605 192.9412 18.5237 23.9067 52.4568 15.5502 69.0959 17.6617 3.6765 37.6344 60.3002
ACAP1 22.1280 68.2415 11.4841 22.5564 247.2868 259.1781 174.2616 339.0538 22.4313 221.1765 152.0220 510.7872 4156.0425 466.5072 158.8175 153.9568 100.8403 203.1063 978.7936
ACAP2 1188.2722 1141.7323 1127.2085 1215.2750 1706.2016 1513.9726 590.2954 1764.3785 1056.4399 1490.0000 1149.7465 1007.5802 494.0239 1352.8708 969.4053 1441.2619 1000.5252 865.5914 875.5596
ACAP3 1008.3349 1003.4996 1295.0530 1482.8294 1700.1240 798.9315 754.4346 1635.4360 938.4949 1065.2941 1247.1747 1042.0816 1152.7357 702.9944 1474.7886 1036.0424 991.7069 1528.6738 1136.5391
ACAT1 2260.7413 2213.4733 2345.4064 2694.4994 1073.6434 1031.7808 439.2405 1387.7551 2133.8640 2048.8235 724.9790 1508.4548 914.3426 483.6523 543.1420 803.1078 610.8193 430.7049 1037.6467
ACAT2 244.0568 219.2651 187.7208 239.6834 1591.9147 671.3096 696.9958 792.8942 385.1881 341.0647 514.3391 286.9329 225.1062 586.6866 413.4273 327.0981 535.4464 340.1075 368.7191
ACBD3 901.3461 958.8801 863.0742 991.2940 1164.3411 1573.1507 1171.7300 2026.4378 946.4544 1191.7647 1770.6096 1107.2886 417.6627 1822.9665 1523.8914 1363.2838 1138.1303 1916.3680 1157.2823
ACBD4 353.3100 342.0822 359.5406 268.6981 169.7674 140.2740 294.9367 103.4323 268.4515 392.3529 332.7877 458.8921 465.4714 348.8836 272.9460 311.5792 498.9496 186.9773 294.2652
ACBD5 562.7881 453.1934 516.7845 343.0946 870.5426 822.4658 775.5274 522.7273 416.7873 561.1765 638.1093 571.4286 371.1819 1146.3317 865.5895 1135.6811 938.0252 454.5998 520.9941
ACBD6 389.4523 411.1986 416.9611 560.7440 380.6202 404.3836 661.6034 374.3043 463.8205 405.8824 397.9400 428.5714 610.2258 495.2153 478.1712 354.9003 452.7311 304.0621 411.9713
ACBD7 2.9504 0.8749 4.4170 5.5402 17.8295 116.1644 83.1224 23.6549 79.5948 5.8824 32.5762 16.3265 73.0412 74.1627 14.0942 56.6508 62.5000 28.6738 16.4017
ACCN1 0.0000 0.0000 0.8834 0.0000 2.3256 0.0000 0.4219 0.0000 3.6179 0.0000 0.6387 0.5831 4.6481 0.0000 0.3438 1.6662 1.5756 0.0000 0.0000
ACCN2 165.2222 223.0971 155.4770 318.1638 76.7442 180.2740 51.4768 57.5139 269.1751 218.8235 97.7285 120.1166 100.2656 73.7640 26.8133 112.9683 21.0084 41.8160 136.5198
ACCN3 5.9008 8.7489 6.1837 17.4120 4.6512 6.0274 2.1097 6.9573 2.8944 5.8824 3.8325 8.1633 20.5843 3.1898 12.0316 3.3324 7.3529 1.1947 4.8240
ACCN4 0.7376 0.0000 5.3004 3.5615 0.7752 1.6438 0.4219 0.4638 0.7236 4.1176 1.9162 4.0816 3.3201 1.5949 0.6875 2.3327 0.5252 1.1947 0.9648
ACCN5 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3332 0.5252 0.0000 0.0000
ACCSL 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ACCS 131.2926 106.7367 128.0919 173.3281 151.9380 66.8493 179.3249 78.3859 71.6353 187.0588 235.0593 446.0641 454.8473 106.4593 404.2626 317.9107 714.8109 330.9438 451.5282
ACD 467.6378 355.2056 440.8127 328.0570 248.8372 359.4521 618.5654 306.1224 424.7467 457.0588 453.5111 477.5510 986.0558 524.7209 348.2296 294.9172 413.8655 367.9809 496.3916
ACE2 63.4335 7.8740 6.1837 6.7273 492.2481 23.0137 43.0380 215.6772 11.5774 11.7647 36.4086 25.0729 11.9522 35.4864 532.4854 43.3212 29.9370 31.0633 25.0849
ACER1 0.0000 0.8749 0.0000 0.0000 77.5194 0.5479 0.0000 151.6698 0.0000 0.5882 0.6387 0.0000 0.6640 0.3987 0.3438 0.9997 0.0000 0.5974 0.4824
ACER2 42.7807 32.3710 27.3852 44.3213 55.8140 389.0411 711.3924 63.0798 40.5210 360.0000 3268.4738 215.7434 104.9137 2333.3333 880.7150 3405.3770 1757.8782 4732.3775 353.6006
ACER3 233.0813 313.2108 252.6502 279.7784 295.3488 325.4795 209.2827 540.3525 371.9247 241.7647 219.0906 200.0000 203.8513 443.3812 523.2039 354.5671 418.5924 256.8698 246.5074
ACE 312.0044 222.2222 318.0212 272.6553 66.6667 1300.8219 370.4641 194.3414 594.0666 591.7647 356.4214 506.7055 179.2829 443.3812 282.5713 409.5517 141.2815 412.1864 783.4208
ACHE 5.1632 23.6220 12.3675 21.7649 13.1783 44.3836 22.3629 55.6586 7.2359 48.2353 93.8960 107.8717 174.6348 47.0494 47.0952 27.9921 28.8866 58.5424 120.6005
ACIN1 2892.1261 3083.1146 3322.4382 2577.7602 2673.6434 2950.1370 2868.3544 3213.8219 2453.6903 2987.6471 4257.8945 3919.5335 2776.2284 2930.2233 3861.8082 3905.9031 3928.5714 4274.7909 2598.6994
ACLY 1981.1912 1963.2546 2316.2544 2232.2913 1980.6202 3429.0411 1691.9831 1933.2096 2426.9175 2548.2353 2109.1461 1619.2420 1864.5418 3978.0702 1965.6239 2532.9553 1879.2017 1994.0263 1964.8232
ACMSD 0.0000 0.0000 0.0000 0.3957 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 4.1816 0.0000
ACN9 124.6543 145.2318 138.6926 146.0230 247.2868 224.6575 243.0380 135.4360 176.5557 147.6471 152.6608 173.1778 77.6892 307.0175 168.0990 166.9531 194.8529 87.8136 191.0312
ACO1 2357.3668 2196.8504 2479.6820 2390.9774 1089.9225 1389.0411 1287.7637 851.1132 3016.6425 1975.2941 956.8446 1737.6093 741.6999 770.3349 812.6504 1084.3621 812.5000 1016.7264 1114.3486
ACO2 4077.1750 4606.5792 3890.7509 4003.9216 3364.3798 2693.2712 4786.6709 3311.2152 4073.9001 3964.0588 2922.2596 3222.0466 2863.5857 2556.9817 4401.9491 3220.3023 3500.3519 4393.4229 3118.1354
ACOT11 307.5788 389.5363 124.0724 141.4840 1426.4884 328.9699 606.1983 733.3952 147.9450 253.4000 502.1518 451.3411 417.8486 703.4211 402.7123 615.9770 963.5084 653.0645 193.2454
ACOT12 0.0000 0.0000 0.0000 0.0000 0.0000 0.5479 0.0000 0.0000 0.0000 0.0000 1.9162 0.5831 0.0000 0.0000 0.0000 0.3332 0.5252 0.0000 0.0000
ACOT13 423.9277 337.2091 478.2686 375.2275 466.5736 507.8959 557.7975 355.6076 482.2938 403.2647 381.7350 516.5073 344.1235 723.0104 530.0928 501.5358 556.7227 315.5317 374.1847
ACOT1 1051.0787 1159.2301 1181.0954 1193.9335 296.1240 404.3836 245.9916 97.8664 1930.5355 1165.2941 233.7818 677.5510 536.5206 256.3796 317.6349 264.2591 399.1597 167.8614 454.9051
ACOT2 639.4984 664.0420 818.0212 810.0237 175.1938 237.8082 145.1477 74.6753 1312.5904 620.0000 182.0432 440.2332 191.8991 249.2026 248.1953 115.6342 262.0798 140.3823 306.3253
ACOT4 12.5392 13.1234 13.2509 19.7863 44.1860 39.4521 42.6160 59.8330 36.1795 29.4118 32.5762 44.3149 23.2404 115.6300 61.8769 45.3206 87.7101 30.4659 21.2257
ACOT6 2.9504 1.7498 1.7668 4.7487 0.7752 2.1918 0.0000 0.0000 5.0651 2.9412 0.6387 5.2478 0.0000 1.1962 0.3438 0.9997 2.1008 0.0000 3.3768
ACOT7 433.7083 480.3150 699.6466 390.1860 904.6512 1224.6575 776.3713 1318.6456 1681.6208 536.4706 297.0178 541.1079 1401.0624 265.1515 621.5194 488.8627 338.7605 235.3644 591.9072
ACOT8 329.6625 262.1347 321.8021 244.4519 479.6434 264.6795 434.3755 430.8071 304.3777 340.1176 283.5594 336.0292 600.8167 531.3836 383.2073 295.4570 365.9034 217.9928 316.5956
ACOT9 819.4726 1083.1146 1363.0742 1147.2101 297.6744 459.1781 233.3333 292.6716 831.4038 754.7059 337.2590 667.6385 867.8619 363.6364 369.5428 388.5575 319.3277 581.2425 651.2427
ACOX1 1632.3068 1466.3167 1565.3710 2395.4294 2050.3876 1781.9233 4220.6751 1980.5195 1344.7902 1719.4412 2839.8291 1843.7318 1071.0491 3112.1451 2243.9464 3635.1691 3798.0042 4518.5185 1572.6304
ACOX2 551.7241 419.0726 417.8445 436.0902 163.5659 237.8082 44.3038 173.4694 548.4805 455.8824 146.9121 518.3673 27.2244 66.1882 180.8182 258.9273 77.7311 76.4636 140.8614
ACOX3 549.5113 749.7813 707.5972 759.3985 1288.3721 397.2603 681.8565 941.5584 684.5152 404.7059 540.3809 476.3848 754.3161 472.8868 846.6827 621.4921 862.9202 553.7634 394.1224
ACOXL 0.0000 0.0000 0.8834 1.1872 0.7752 80.0000 383.5443 0.4638 0.0000 19.4118 162.2420 65.3061 131.4741 248.0064 73.9086 244.5980 486.8697 324.9701 123.4949
ACP1 977.3188 902.0122 1110.4240 1001.9786 1296.1240 1315.6164 1257.8059 912.3377 887.8437 908.8235 924.9072 973.1778 1638.1142 998.8038 1168.4428 1113.0208 1462.7101 1098.5663 1205.0401
ACP2 598.1929 561.6798 544.1696 386.2287 696.8992 914.5205 1040.5063 548.2375 672.2142 754.1176 521.8572 795.9184 1203.8513 920.2552 1187.3496 783.1134 682.7731 390.6810 1021.7274
ACP5 385.0267 510.0612 214.6643 271.4681 475.1938 812.0548 586.4979 881.2616 452.9667 372.3529 625.9731 876.9679 2492.0319 863.2376 540.7356 320.2434 334.5588 326.1649 2108.5790
ACP6 281.7629 202.0997 107.7739 184.8041 313.9535 482.7397 578.4810 167.4397 176.5557 270.0000 387.7201 284.5481 774.9004 461.3238 348.2296 435.8776 755.7773 382.9152 302.4660
ACPL2 109.9023 140.8574 162.5442 135.7341 144.1860 508.4932 148.1013 107.6067 164.2547 197.6471 233.7818 182.5073 423.6388 579.7448 297.3530 301.5820 416.4916 204.8984 203.5736
ACPP 2.2128 8.7489 0.8834 4.7487 1479.8450 25.7534 52.3207 1253.7106 5.0651 11.1765 42.7961 9.3294 28.5525 327.3525 99.6906 50.3192 46.2185 58.5424 24.6025
ACPT 0.7376 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.8553 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.4824
ACRBP 18.4400 13.1234 9.7173 11.0803 5.4264 20.8219 5.4852 14.3785 13.7482 15.8824 23.6337 25.6560 17.9283 13.5566 11.6879 20.9941 15.7563 7.7658 36.6626
ACRC 20.6528 6.9991 9.7173 8.7060 8.5271 5.4795 3.7975 14.3785 13.7482 12.9412 10.2200 25.0729 32.5365 17.5439 19.9381 28.9919 24.1597 27.4791 16.4017
ACRV1 3.6880 0.0000 0.8834 5.5402 0.7752 0.5479 2.1097 0.0000 4.3415 3.5294 0.0000 1.1662 11.2882 2.7911 0.6875 0.6665 0.0000 0.0000 0.0000
ACR 2.9504 0.0000 5.3004 3.9573 0.7752 4.3836 1.2658 4.1744 1.4472 8.2353 5.7487 4.0816 5.3121 0.7974 2.4063 2.6659 3.1513 1.7921 7.2360
ACSBG1 73.0223 41.9948 58.3039 61.3376 16.2791 17.5342 35.0211 6.9573 48.4805 42.9412 52.3773 51.3120 9.2961 15.5502 26.1258 43.6544 65.1261 103.3453 65.1243
ACSBG2 1.4752 0.0000 1.7668 0.0000 2.3256 1.0959 0.0000 0.0000 0.7236 0.0000 0.0000 0.5831 1.9920 0.3987 0.0000 1.6662 1.0504 0.0000 0.4824
ACSF2 202.1022 106.7367 136.9258 170.1622 279.8450 842.1918 2506.7511 551.0204 151.2301 471.1765 1555.9903 586.5889 1527.8884 1175.8373 1810.5878 1579.5564 1726.8908 2277.1804 895.3381
ACSF3 340.7708 351.7060 327.7385 252.4733 386.0465 442.7397 654.0084 414.6568 329.9566 398.8235 554.4333 449.5627 1000.0000 446.9697 623.9257 562.8419 646.5336 348.8650 503.6277
ACSL1 2543.2417 2311.4611 2141.3428 2250.4947 3846.5116 1220.2740 1086.4979 2411.8738 1454.4139 1574.1176 1240.4487 1253.0612 990.7039 2461.7225 2643.8639 2078.0831 2950.1050 2131.4217 1848.0820
ACSL3 1664.7612 1660.5424 1738.5159 2062.9205 2283.7209 2007.6712 1868.7764 3141.9295 1593.3430 2007.6471 1708.0123 1758.6006 1092.2975 1726.8740 2436.2324 1871.1412 2272.5840 3043.6081 1380.1521
ACSL4 1550.4333 2090.9886 1979.6820 3191.9272 568.2171 2260.8219 776.7932 882.6531 1400.8683 1752.3529 818.8750 1123.6152 745.0199 1149.5215 706.0846 1385.2776 887.0798 1505.3763 2012.5810
ACSL5 187.3502 202.0997 125.4417 273.0510 590.6977 3075.6164 4078.9030 1137.2913 146.1650 1561.1765 4450.7964 2427.4052 1784.8606 2577.3525 8225.1633 6057.2989 4785.7143 7021.5054 3834.6133
ACSL6 0.0000 2.6247 3.5336 2.7701 0.7752 27.9452 3.7975 3.2468 2.1708 1.7647 5.1100 2.9155 4.6481 8.7719 1.3750 4.3321 4.2017 2.3895 14.9545
ACSM1 0.7376 0.0000 5.3004 26.9094 3.1008 1.6438 82.2785 5.5659 5.0651 8.2353 30.0212 12.8280 15.2722 17.1451 28.5321 99.9719 123.4244 103.9427 34.2505
ACSM2A 0.0000 1.7498 0.8834 0.0000 0.0000 0.0000 0.0000 0.0000 2.1708 0.0000 0.0000 3.4985 0.6640 0.0000 0.0000 0.0000 0.5252 0.0000 0.9648
ACSM2B 0.0000 0.8749 0.0000 0.7915 0.0000 0.0000 0.4219 0.9276 0.0000 0.0000 0.0000 0.5831 0.0000 0.3987 0.0000 0.3332 0.0000 0.0000 0.4824
ACSM3 14.2209 11.8810 6.3074 147.1429 55.7519 115.6603 771.3122 73.3720 29.2547 130.3706 308.0426 104.1633 171.8858 157.5718 174.0289 479.1521 679.9422 280.7348 143.5339
ACSM4 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ACSM5 44.9935 40.2450 10.6007 8.7060 3.1008 11.5068 3.7975 1.8553 25.3256 31.7647 5.1100 32.6531 5.3121 5.5821 3.4376 7.6645 3.6765 4.7790 19.2961
ACSS1 633.5976 692.9134 674.0283 433.7159 765.8915 623.0137 1202.9536 455.4731 390.0145 461.7647 587.6482 780.7580 1132.8021 2050.6380 885.1839 1003.3849 1198.5294 512.5448 687.4228
ACSS2 891.0197 771.6535 754.4170 771.6660 1598.4496 646.5753 656.9620 935.0649 675.8321 884.7059 672.6017 795.3353 482.7357 1060.2073 1011.0003 619.1595 740.5462 464.1577 547.0438
ACSS3 109.1647 66.4917 115.7244 132.1725 17.0543 234.5205 59.9156 50.5566 129.5224 157.6471 193.5407 93.2945 30.5445 281.1005 45.3764 175.6173 198.5294 102.1505 90.2092
ACTA1 60.4831 298.3377 465.5477 198.6545 4.6512 1.6438 5.0633 1.3915 236.6136 57.0588 31.2987 20.9913 7.9681 6.7783 4.4689 2.3327 12.6050 4.7790 1.9296
ACTA2 168536.6992 162893.9895 230926.4841 160230.2612 32668.6589 37258.9096 17606.4304 11532.4490 235081.2880 129585.8353 22086.1511 121210.0058 15354.5286 6151.9976 19458.4118 46471.5792 15363.4454 13335.4719 46559.5718
ACTBL2 0.0000 0.0000 0.0000 0.3957 0.0000 1.6438 0.0000 0.0000 0.0000 0.0000 0.0000 2.3324 0.0000 0.3987 0.0000 0.0000 0.0000 0.0000 0.4824
ACTB 262364.0052 286270.3412 327192.5795 224157.0360 153706.9767 115792.8767 149082.2785 210216.6048 290471.6860 192609.4118 181082.5183 187198.8338 130444.8871 67068.1818 107611.5572 97425.3064 61946.9538 143148.1481 152500.2894
ACTC1 45076.1571 54971.1286 81455.8304 56792.6395 11571.3178 5578.0822 26.1603 47.3098 125733.5384 46861.1765 38.3249 46027.9883 270.9163 51.4354 2504.6408 9480.0044 361.8697 595.5795 10596.4418
ACTG1 22945.2333 44490.8136 30757.9505 52090.6213 101582.1705 71532.6027 212852.7426 194113.1725 36314.0376 54438.2353 173109.0263 67158.6006 92589.6414 68848.5526 107636.6449 51389.2349 62597.6891 186367.9809 73802.6783
ACTG2 208375.4379 228747.1566 367126.3251 190282.1528 29185.2713 25407.1233 10978.9030 5502.7829 376426.9247 94100.0000 18165.9947 114145.1895 7092.2975 3381.5789 13721.8976 54282.7556 11619.7479 7901.4337 39836.2728
ACTL6A 444.7723 433.0709 518.5512 485.9517 755.0388 983.5616 520.6751 693.4137 772.0695 617.6471 656.6330 483.9650 435.5910 1570.1754 758.3362 777.4483 720.0630 606.9295 635.3234
ACTL6B 0.0000 0.8749 0.0000 0.0000 0.0000 0.0000 0.4219 0.0000 0.0000 0.0000 0.6387 0.0000 0.0000 0.3987 0.0000 0.0000 0.0000 0.0000 0.0000
ACTL7A 0.0000 0.0000 0.0000 0.7915 0.0000 0.0000 0.8439 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.3330 0.0000 0.0000 0.0000
ACTL7B 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.3280 0.3987 0.3438 0.0000 0.0000 0.5974 0.4824
ACTL8 0.0000 0.8749 0.0000 0.0000 1.5504 43.2877 0.4219 0.4638 0.0000 0.0000 0.6387 0.0000 2.6560 0.0000 0.0000 0.0000 0.0000 0.0000 0.9648
ACTL9 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.3332 0.0000 0.0000 0.0000
ACTN1 41399.9631 39908.1365 52622.7915 37707.9541 5954.2636 8240.5479 2457.8059 4172.5417 41166.4255 21757.0588 3444.1295 19277.5510 2237.0518 4018.7400 3054.6580 8824.1885 5720.0630 4798.0884 7019.9136
ACTN2 2399.4099 1384.9519 2131.6254 790.6609 3.1008 3.2877 0.8439 4.1744 1112.1563 94.1176 3.1937 103.2070 2.6560 0.7974 17.5318 113.6348 15.7563 2.3895 4.3416
ACTN3 12.5392 2.6247 6.1837 10.6846 1.5504 3.2877 0.0000 0.9276 5.0651 11.7647 3.8325 0.5831 11.2882 0.3987 0.6875 1.3330 1.0504 1.1947 5.3064
ACTN4 16218.4842 20867.2878 28817.4382 16027.4040 18082.3798 10256.0055 12365.7089 23914.2625 23364.5080 14060.1235 11379.9481 11992.1458 11984.7543 8777.8110 14852.0557 10798.3341 8252.1324 20733.4170 10102.6214
ACTR10 1061.4051 1146.9816 1198.7633 1185.5956 1130.2326 998.9041 1296.6245 1271.7996 1128.0753 1243.5294 857.8386 1125.9475 940.9031 1182.6156 1150.5672 898.7476 1078.7815 798.6858 1067.0732
ACTR1A 5679.5132 4576.5529 5297.7032 5277.7998 3717.0543 3191.7808 3229.1139 3403.5250 4460.9262 4469.4118 2216.4557 4270.5539 3370.5179 1600.0797 2604.3314 2361.0036 2713.7605 2491.6368 3395.6275
ACTR1B 1704.5916 1592.3010 2310.9541 1843.6882 1644.9612 1107.9452 1214.3460 1206.8646 1755.4269 1617.6471 1204.6788 1624.4898 1894.4223 1400.3190 1645.9264 1369.2821 1707.9832 1128.4349 1456.8540
ACTR2 4691.8680 5153.1059 4926.6784 5804.1156 6605.4264 7049.3151 3848.1013 6634.0445 4947.9016 5646.4706 4681.3845 4083.3819 2986.7198 8521.9298 5673.4273 5295.5128 4262.0798 6310.0358 5372.5108
ACTR3B 85.5615 69.9913 70.6714 64.8991 67.4419 129.8630 212.6582 68.6456 48.4805 91.7647 124.5559 90.3790 105.5777 98.4848 136.8168 152.9570 186.4496 118.2796 145.2030
ACTR3C 6.6384 6.9991 4.4170 17.0162 116.2791 15.8904 48.5232 68.1818 10.8538 12.3529 42.1574 29.1545 55.1129 85.3270 37.4699 54.9846 51.4706 46.5950 28.9441
ACTR3 4674.1656 4979.0026 5524.7350 6667.5900 7918.6047 4694.2466 2927.4262 7583.0241 4953.6903 4193.5294 4073.9351 4248.9796 2942.8951 3740.8293 3679.6150 2935.5089 2387.6050 4926.5233 3742.4745
ACTR5 160.7966 130.3587 147.5265 123.8623 195.3488 221.9178 186.4979 197.1243 108.5384 220.0000 197.3731 202.3324 280.2125 352.0734 214.5067 155.6230 200.1050 139.1876 194.8904
ACTR6 481.6522 471.5661 453.1802 498.2192 474.4186 516.1644 632.9114 479.5918 420.4052 476.4706 507.8047 518.3673 388.4462 652.7113 643.5201 513.8557 558.2983 444.4444 489.6380
ACTR8 468.3754 396.3255 449.6466 321.7254 319.3798 511.7808 564.9789 505.1020 444.2836 382.3529 452.2336 454.8105 467.4635 540.2711 471.9835 520.1872 588.2353 345.8781 466.9651
ACTRT1 0.0000 0.8749 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 1.9920 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ACTRT2 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.6640 0.0000 0.0000 0.3332 0.0000 0.0000 0.0000
ACVR1B 409.3675 382.3272 306.5371 1239.8101 1110.0775 782.4658 940.0844 746.7532 356.7294 740.0000 1396.9420 569.0962 382.4701 834.9282 1006.8752 1450.2594 1314.0756 859.0203 947.9199
ACVR1C 49.4191 33.2458 37.9859 34.0324 72.8682 30.1370 19.4093 6.4935 2.1708 37.0588 45.9899 7.5802 27.2244 136.7624 6.8752 63.3156 6.3025 4.7790 4.3416
ACVR1 1326.9408 1135.6080 1174.0283 689.7507 441.8605 1179.7260 527.8481 334.8794 1074.5297 955.2941 907.6610 816.3265 280.8765 939.7927 466.4833 856.4262 498.9496 690.5615 693.2116
ACVR2A 466.1626 496.0630 343.6396 482.7859 492.2481 536.4384 546.4135 431.3544 497.1056 666.4706 639.3868 507.8717 416.3347 657.0973 633.5510 633.4888 857.6681 376.9415 399.9112
ACVR2B 360.6860 169.7288 208.4806 88.2469 97.6744 250.4110 212.2363 65.8627 206.9465 222.3529 314.2640 218.6589 148.7384 346.8900 99.0031 545.8467 391.2815 49.5818 116.2589
ACVRL1 691.1304 604.5494 709.3640 750.2968 184.4961 1415.3425 598.7342 637.2913 948.6252 1245.8824 1014.3319 689.2128 1749.6680 610.0478 506.0158 1042.3739 358.7185 430.7049 1635.3427
ACY1 160.7966 172.3535 153.7102 166.2050 705.6279 622.3726 1287.1350 470.2876 217.0767 305.9412 904.3139 448.7172 1801.4608 841.4394 848.9000 718.1317 1042.9412 710.2748 628.9846
ACY3 0.7376 1.7498 0.0000 1.1872 13.9535 5.4795 8.4388 1.3915 1.4472 20.5882 3.1937 18.6589 59.7610 13.9553 42.9701 0.9997 5.7773 1.1947 27.4969
ACYP1 51.6319 27.1216 32.6855 62.5247 93.7984 81.6438 98.7342 59.8330 107.8148 62.3529 65.7910 64.1399 152.0584 96.4912 78.7212 60.6496 56.7227 41.8160 52.5818
ACYP2 140.1438 171.4786 165.1943 173.7238 180.6202 177.5342 262.0253 103.4323 145.4414 142.9412 162.2420 159.7668 183.2669 193.3812 214.1629 131.6297 231.0924 216.2485 155.3334
ADAD1 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ADAD2 0.0000 0.8749 0.0000 3.8939 27.1240 2.8986 16.4093 23.4787 1.4472 0.0000 8.5592 4.9213 30.4781 13.0343 18.2881 14.3293 16.0399 9.0800 19.3154
ADAL 207.2654 181.9773 190.8127 262.7622 171.3178 148.4932 156.5401 93.2282 233.7192 144.7059 114.3359 190.0875 43.8247 161.8820 121.3475 107.6364 129.2017 78.8530 108.5404
ADAM10 961.8292 881.8898 672.2615 946.9727 808.5271 3213.6986 1547.2574 1131.7254 931.2590 1380.5882 2851.3713 1245.4810 255.6441 4947.3684 1867.6521 2804.8790 2064.6008 2559.1398 993.7481
ADAM11 35.4048 69.1164 45.0530 62.5247 54.2636 40.0000 5.9072 30.1484 55.7164 73.5294 28.7437 41.3994 23.2404 5.1834 21.3132 23.3268 52.5210 20.3106 16.8841
ADAM12 32.4544 154.8556 61.8375 103.6803 68.9922 1053.1507 79.3249 125.2319 969.6093 94.1176 208.8706 164.4315 263.6122 170.6539 138.8793 477.5326 60.9244 292.1147 399.4288
ADAM15 1487.7374 1364.8294 1628.9753 2099.1452 5475.9690 3802.7397 1485.6540 4614.6614 1829.2330 3264.1176 1423.7694 1901.4577 7082.3838 3435.8373 4357.3634 1210.6600 1248.4244 1664.8746 3163.5922
ADAM17 339.2956 405.9493 226.1484 553.2252 827.1318 709.5890 263.2911 908.6271 350.2171 424.1176 590.2032 279.3003 195.8831 786.6826 564.4551 432.8784 429.0966 870.9677 456.3523
ADAM18 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ADAM19 2242.3013 3364.8294 2292.4028 3966.7590 451.1628 730.9589 127.4262 472.1707 3206.2229 1098.8235 492.4747 1678.1341 786.8526 333.3333 288.4153 742.1249 147.0588 259.2593 1320.8166
ADAM20 1.4752 1.7498 0.8834 1.5829 2.3256 1.6438 2.5316 0.9276 1.4472 1.1765 1.2775 2.9155 0.0000 0.0000 0.6875 2.3327 3.6765 0.0000 0.9648
