A13J-11A A20N-11A A20Q-11A A20R-11A A20U-11A A20W-11A A2LA-11A A2LB-11A A0YN-11A A0YR-11A A3BM-11A A3WC-11A A6I3-11A A2C5-11A A3OP-11A A3OQ-11A A3WV-11A A54R-11A A5RI-11A
ABAT 162.2718 148.7314 92.7562 91.8085 724.8062 371.5068 1337.5527 381.7254 99.8553 388.8235 759.4714 390.6706 146.0823 1725.2791 1073.2210 1634.5410 1516.2815 861.4098 309.7021
ABCA10 49.5667 26.2467 24.7350 24.1393 11.6279 41.0959 43.0380 11.1317 27.4964 112.3529 180.7657 167.3469 45.8167 36.2839 46.4077 114.9677 78.7815 212.6643 69.9483
ABCA11P 54.4569 61.7760 84.4346 77.7681 56.0388 60.7890 31.9325 36.3265 76.7149 75.1353 100.1876 72.3848 38.5325 38.2815 60.0481 106.0336 104.7952 53.3453 51.7376
ABCA12 0.0000 0.0000 0.0000 0.3957 894.5736 21.3699 6.7511 291.7440 1.4472 0.0000 10.8587 19.2420 3.3201 15.9490 181.1619 10.3304 2.1008 8.3632 1.9296
ABCA13 0.0000 0.0000 0.0000 0.0000 360.4651 25.2055 11.3924 9.2764 0.7236 1.1765 6.3875 7.5802 13.2802 61.4035 73.5648 143.9596 53.5714 23.8949 3.3768
ABCA17P 1.4752 6.1242 1.7668 2.7701 0.7752 1.0959 7.1730 3.2468 3.6179 2.9412 3.1937 5.2478 7.3041 3.1898 1.7188 6.9980 9.9790 1.7921 1.4472
ABCA1 3809.6847 2919.5013 1909.8940 4962.6949 1272.0930 933.1342 424.0506 444.3414 1884.8625 1829.3882 1176.5739 2116.0058 369.1899 973.2775 713.6404 2414.9818 1008.3981 547.7897 1210.3466
ABCA2 1068.7811 832.0210 1351.5901 903.8385 458.9147 850.4110 384.3882 459.1837 1319.1027 1210.0000 996.4470 963.2653 915.0066 326.9537 591.6122 1080.0300 788.8655 920.5496 806.5761
ABCA3 791.4439 658.7927 1199.6466 510.0910 115.5039 240.5479 118.9873 135.4360 988.4226 613.5294 158.4095 471.1370 355.9097 115.6300 115.8474 389.5573 246.3235 80.6452 251.3314
ABCA4 26.5536 17.4978 5.3004 12.6632 52.7132 6.0274 10.9705 13.4508 13.7482 12.3529 3.8325 4.0816 59.0969 15.5502 6.8752 0.9997 1.5756 1.1947 77.6667
ABCA5 169.5003 96.2380 117.4912 240.6015 812.4031 308.4932 446.4135 611.7811 76.7004 269.4118 897.4410 301.4577 163.3466 474.8804 753.1798 707.4680 485.8193 770.6093 239.2714
ABCA6 859.3030 348.2065 351.5901 284.1314 10.8527 254.7945 329.9578 70.9647 376.9899 682.3529 743.5027 523.0321 101.5936 215.3110 105.1908 460.5373 132.8782 960.5735 572.6111
ABCA7 26.5536 55.9930 29.1519 43.5299 714.7287 250.9589 244.3038 388.2189 41.9682 124.7059 337.2590 303.7901 1367.1979 645.9330 621.1757 377.8939 215.3361 441.4576 299.5716
ABCA8 1377.8351 835.5206 539.7527 1054.2145 45.7364 1418.0822 283.9662 289.4249 696.8162 1877.0588 1906.6629 613.4111 205.8433 457.7352 100.0344 1044.7066 480.0420 1624.8507 715.8845
ABCA9 1062.8803 710.4112 590.9894 391.3732 13.1783 330.9589 25.7384 25.0464 450.7959 768.2353 234.4205 661.8076 45.1527 78.9474 95.9092 181.6157 33.6134 280.1673 406.1825
ABCB10 500.0922 560.8049 585.6890 491.8876 349.6124 422.4658 121.9409 310.7607 753.9797 447.6471 343.6465 463.5569 209.1633 406.2998 343.7607 383.8922 265.7563 266.4277 448.6338
ABCB11 0.7376 0.8749 0.0000 0.0000 0.0000 5.4795 1.2658 2.3191 0.0000 1.1765 3.1937 1.7493 0.0000 0.7974 9.9691 4.6654 0.0000 1.1947 2.8944
ABCB1 58.2703 60.3675 29.1519 164.2264 36.4341 745.2055 186.0759 177.6438 72.3589 211.1765 314.2640 148.1050 150.0664 217.3046 132.0041 285.2532 297.7941 302.2700 215.6337
ABCB4 40.5680 38.4952 93.6396 83.1025 13.1783 44.3836 45.9916 12.0594 133.8640 69.4118 34.4924 60.6414 61.7530 55.0239 23.0320 45.6538 11.5546 32.2581 52.0994
ABCB5 72.2847 41.9948 27.3852 80.3324 0.0000 111.7808 5.4852 2.3191 39.7974 61.1765 11.4975 78.1341 11.2882 3.1898 19.9381 8.6642 0.5252 14.3369 29.4265
ABCB6 713.6124 549.8250 617.7385 630.4788 3209.7442 589.2329 1390.7342 568.6688 636.8524 707.1706 857.6151 629.6152 603.8977 512.9904 1090.1478 893.3791 949.7059 550.4898 716.3428
ABCB7 489.7658 435.6955 431.0954 605.0653 311.6279 372.6027 460.7595 478.2004 506.5123 561.7647 406.8825 550.4373 278.8845 421.8501 376.4180 370.2294 402.8361 387.6941 324.1741
ABCB8 326.0188 448.8189 386.9258 422.2398 784.4961 608.2192 383.1224 691.0946 515.1954 464.1176 351.9502 465.3061 1128.8181 283.0941 595.7374 428.5463 337.7101 329.7491 541.7374
ABCB9 46.4687 30.0350 46.2014 30.8033 91.0155 60.5534 59.8270 65.1623 81.1939 113.3000 65.7272 76.0991 275.6773 104.7089 80.8422 84.4330 91.3130 17.9211 52.0801
ABCC10 362.8988 295.7130 397.5265 184.0127 531.0078 426.3014 405.4852 380.7978 295.2243 391.7647 541.6583 478.1341 334.6614 689.7927 700.2406 889.0836 776.2605 414.5759 430.7850
ABCC11 0.0000 0.0000 0.0000 0.0000 3.8760 0.0000 14.3460 1.8553 2.1708 0.5882 3.8325 2.9155 9.2961 2.3923 4.4689 2.9992 11.5546 5.9737 0.9648
ABCC12 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000 0.0000
ABCC13 0.0000 0.0000 0.0000 0.0000 2.3256 0.5479 1.2658 4.1744 0.0000 0.0000 0.0000 5.2478 5.9761 0.3987 0.6875 5.3318 0.0000 0.0000 0.9648
ABCC1 2434.0771 1809.2738 1864.8410 1605.8567 5118.6047 2153.4247 1550.2110 2048.7013 2002.1708 1388.8235 1476.7855 1716.6181 1555.1129 1578.1499 1309.3847 1892.4685 909.6639 1535.2449 1617.4938
